City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,kitui,-1.367,38.0106,17.49,80,96,2.62,KE,1727323733
234,shubarshi,48.5872,57.1869,9.68,37,0,4.55,KZ,1727323733
235,port alfred,-33.5906,26.891,15.1,95,100,4.02,ZA,1727323734
236,macon,39.8667,-88.9668,17.03,72,0,0.0,US,1727323734
237,evergreen,39.6333,-105.3172,18.34,46,0,0.89,US,1727323734
238,noosa heads,-26.3833,153.15,24.29,63,74,8.38,AU,1727323734
239,nosy varika,-20.5833,48.5333,22.47,73,59,2.06,MG,1727323734
240,udachny,66.4167,112.4,5.01,66,28,5.52,RU,1727323735
241,xianshuigu,38.985,117.3828,24.0,53,0,2.0,CN,1727323735
242,tarawa,1.419,172.984,31.05,70,20,1.54,KI,1727323735
243,banjarmasin,-3.3244,114.591,31.08,42,24,1.84,ID,1727323215
244,garissa,-0.4536,39.6401,23.66,79,56,6.94,KE,1727323477
245,nizhneudinsk,54.9076,99.0276,6.85,52,100,0.2,RU,1727323735
246,yeosu,34.7546,127.6599,25.0,69,93,1.05,KR,1727323736
247,nova sintra,14.8667,-24.7167,26.72,83,100,3.89,CV,1727323736
248,kosti,13.1629,32.6635,26.97,70,38,4.09,SD,1727323736
249,hollola,61.05,25.4333,12.63,84,100,5.4,FI,1727323736
250,santiago,-33.4569,-70.6483,12.28,62,0,0.89,CL,1727322965
251,olonkinbyen,70.9221,-8.7187,-0.96,95,100,6.5,SJ,1727323736
252,amet,25.3,73.9333,28.79,66,92,2.31,IN,1727323737
253,kingston,17.997,-76.7936,28.53,65,75,5.66,JM,1727323450
254,rongelap,11.1635,166.8941,28.8,74,57,3.95,MH,1727323737
255,farafangana,-22.8167,47.8333,21.88,85,11,4.27,MG,1727323737
256,palmer,42.1584,-72.3287,14.73,79,100,0.0,US,1727323737
257,sitka,57.0531,-135.33,9.94,76,40,2.57,US,1727323737
258,flin flon,54.7682,-101.865,18.24,64,45,6.27,CA,1727323738
259,tralee,52.2704,-9.7026,9.81,96,100,6.17,IE,1727323738
260,yanchep,-31.55,115.6833,24.6,42,0,4.71,AU,1727323738
261,pacasmayo,-7.4006,-79.5714,16.14,92,57,4.32,PE,1727323738
262,khanty-mansiysk,61.0042,69.0019,0.06,69,0,3.0,RU,1727323641
263,aswan,24.0934,32.907,26.24,33,0,3.49,EG,1727323606
264,taber,49.8167,-112.1518,19.69,45,37,5.7,CA,1727323739
265,sisimiut,66.9395,-53.6735,6.5,69,53,2.55,GL,1727323739
266,west island,-12.1568,96.8225,27.99,78,26,6.69,CC,1727323739
267,oruro,-17.9833,-67.15,9.33,47,81,1.88,BO,1727323510
268,ngurore,9.2833,12.2333,22.6,93,91,0.67,NG,1727323740
269,hasaki,35.7333,140.8333,24.84,81,78,6.84,JP,1727323740
270,chos malal,-37.3781,-70.2709,8.22,27,0,0.24,AR,1727323740
271,rabaul,-4.1967,152.1721,28.33,74,99,0.78,PG,1727323740
272,siwa oasis,29.2041,25.5195,24.52,57,0,3.31,EG,1727323740
273,binzhou,37.3667,118.0167,25.08,51,57,3.23,CN,1727323740
274,bonthe,7.5264,-12.505,23.17,95,100,2.13,SL,1727323741
275,bodo,67.28,14.405,6.02,89,75,3.09,NO,1727323741
276,nguigmi,14.2495,13.1092,29.26,52,0,3.13,NE,1727323741
277,castro,-24.7911,-50.0119,20.61,37,11,1.37,BR,1727323741
278,bikenibeu village,1.3673,173.1241,30.98,70,20,1.54,KI,1727323742
279,huambo,-12.7761,15.7392,15.41,29,15,0.27,AO,1727323742
280,kralendijk,12.15,-68.2667,28.99,79,3,4.12,BQ,1727323742
281,zouerate,22.7187,-12.4521,30.17,39,100,3.18,MR,1727323742
282,mao,39.8885,4.2658,23.31,88,75,7.2,ES,1727323742
283,shambu,9.5667,37.1,11.36,88,95,0.53,ET,1727323743
284,dzhalagash,45.0833,64.6667,14.29,26,43,9.07,KZ,1727323743
285,kungalv,57.871,11.9805,9.54,88,55,2.22,SE,1727323743
286,walvis bay,-22.9575,14.5053,18.22,43,57,6.15,NA,1727323743
287,rancho palos verdes,33.7445,-118.387,17.57,91,1,0.89,US,1727323743
288,hotan,37.0997,79.9269,26.0,19,0,2.3,CN,1727323744
289,bairnsdale,-37.8333,147.6167,13.36,57,86,3.13,AU,1727323539
290,rosetta,31.4044,30.4164,23.22,71,0,3.56,EG,1727323744
291,conde,-7.2597,-34.9075,22.7,83,20,3.09,BR,1727323527
292,micheweni,-4.9667,39.8333,24.53,76,72,3.95,TZ,1727323744
293,hawassa,7.05,38.4667,16.72,90,99,1.23,ET,1727323744
294,arvayheer,46.2639,102.775,14.79,28,34,5.17,MN,1727323745
295,beau vallon,-20.4189,57.6953,22.13,78,40,3.09,MU,1727323582
296,sianow,54.2265,16.2913,13.77,84,100,4.26,PL,1727323745
297,happy valley-goose bay,53.3168,-60.3315,8.53,74,64,0.67,CA,1727323623
298,susuman,62.7833,148.1667,7.08,48,3,1.89,RU,1727323746
299,nemuro,43.3236,145.575,17.25,82,79,5.01,JP,1727323746
300,puerto armuelles,8.2833,-82.8667,28.38,71,100,3.58,PA,1727323746
301,vuktyl,63.8567,57.3094,5.58,82,100,4.58,RU,1727323746
302,waddan,29.1614,16.139,25.12,56,75,1.4,LY,1727323746
303,alofi,-19.0595,-169.9187,22.94,83,100,3.09,NU,1727323622
304,uturoa,-16.7333,-151.4333,26.4,82,24,4.74,PF,1727323747
